,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Coherent,0.664,0.673,0.673,0.677,0.675,0.67,0.692,0.661,0.654,0.673,0.674,0.679,0.663,0.675,0.671,0.687,0.655,0.658,0.666,0.69,0.646,0.679,0.673,0.659,0.687,0.672,0.657,0.675,0.659,0.673,0.699,0.663,0.66,0.667,0.666,0.663,0.686,0.657,0.691,0.669,0.659,0.677,0.665,0.684,0.672,0.653,0.66,0.64,0.664,0.691,0.685,0.659,0.685,0.663,0.68,0.659,0.668,0.689,0.671,0.651,0.654,0.688,0.662,0.657,0.678,0.662,0.659,0.663,0.664,0.646,0.655,0.657,0.637,0.686,0.687,0.675,0.69,0.655,0.643,0.688,0.678,0.717,0.664,0.632,0.664,0.66,0.667,0.667,0.669,0.661,0.663,0.675,0.662,0.649,0.675,0.679,0.68,0.678,0.659,0.674
Incoherent,0.217,0.23,0.214,0.213,0.202,0.224,0.206,0.231,0.237,0.21,0.204,0.214,0.218,0.222,0.214,0.199,0.24,0.233,0.223,0.207,0.234,0.201,0.223,0.226,0.228,0.215,0.221,0.222,0.227,0.214,0.198,0.228,0.216,0.22,0.217,0.222,0.209,0.227,0.195,0.221,0.224,0.201,0.22,0.205,0.224,0.228,0.232,0.24,0.234,0.197,0.21,0.231,0.212,0.232,0.213,0.21,0.226,0.204,0.213,0.222,0.239,0.226,0.21,0.219,0.218,0.211,0.22,0.208,0.229,0.24,0.217,0.223,0.26,0.201,0.207,0.217,0.208,0.233,0.243,0.207,0.217,0.196,0.221,0.244,0.218,0.231,0.21,0.223,0.209,0.215,0.219,0.22,0.227,0.232,0.216,0.206,0.204,0.218,0.238,0.208
Apathetic,0.119,0.097,0.113,0.11,0.123,0.106,0.102,0.108,0.109,0.117,0.122,0.107,0.119,0.103,0.115,0.114,0.105,0.109,0.111,0.103,0.12,0.12,0.104,0.115,0.085,0.113,0.122,0.103,0.114,0.113,0.103,0.109,0.124,0.113,0.117,0.115,0.105,0.116,0.114,0.11,0.117,0.122,0.115,0.111,0.104,0.119,0.108,0.12,0.102,0.112,0.105,0.11,0.103,0.105,0.107,0.131,0.106,0.107,0.116,0.127,0.107,0.086,0.128,0.124,0.104,0.127,0.121,0.129,0.107,0.114,0.128,0.12,0.103,0.113,0.106,0.108,0.102,0.112,0.114,0.105,0.105,0.087,0.115,0.124,0.118,0.109,0.123,0.11,0.122,0.124,0.118,0.105,0.111,0.119,0.109,0.115,0.116,0.104,0.103,0.118
Weak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
