,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Coherent,0.503,0.569,0.526,0.532,0.528,0.564,0.525,0.526,0.512,0.484,0.477,0.549,0.527,0.55,0.514,0.479,0.537,0.494,0.559,0.462,0.507,0.512,0.523,0.549,0.482,0.504,0.522,0.564,0.531,0.447,0.5,0.509,0.537,0.53,0.515,0.5,0.569,0.552,0.54,0.567,0.544,0.517,0.549,0.525,0.56,0.519,0.506,0.517,0.537,0.564,0.509,0.57,0.46,0.495,0.466,0.53,0.532,0.546,0.524,0.539,0.486,0.469,0.541,0.465,0.505,0.525,0.495,0.487,0.513,0.555,0.491,0.511,0.469,0.493,0.467,0.492,0.488,0.5,0.539,0.476,0.515,0.525,0.507,0.471,0.5,0.507,0.511,0.523,0.509,0.512,0.53,0.531,0.589,0.538,0.528,0.505,0.569,0.523,0.471,0.508
Incoherent,0.496,0.431,0.474,0.468,0.472,0.436,0.475,0.467,0.488,0.516,0.523,0.451,0.471,0.45,0.486,0.521,0.463,0.506,0.441,0.531,0.493,0.488,0.477,0.451,0.518,0.496,0.478,0.436,0.469,0.553,0.5,0.491,0.463,0.466,0.483,0.5,0.431,0.448,0.46,0.433,0.456,0.483,0.451,0.475,0.44,0.481,0.494,0.483,0.463,0.436,0.491,0.43,0.54,0.505,0.534,0.47,0.468,0.454,0.476,0.455,0.514,0.531,0.459,0.535,0.495,0.475,0.505,0.51,0.487,0.445,0.509,0.487,0.531,0.507,0.533,0.508,0.507,0.5,0.455,0.524,0.485,0.475,0.493,0.529,0.5,0.493,0.489,0.477,0.491,0.488,0.469,0.469,0.411,0.462,0.466,0.495,0.431,0.477,0.529,0.492
Apathetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weak,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.005,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0
