,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Coherent,0.604,0.599,0.568,0.568,0.585,0.581,0.615,0.56,0.619,0.613,0.583,0.598,0.587,0.565,0.582,0.577,0.602,0.574,0.566,0.538,0.587,0.636,0.562,0.584,0.603,0.574,0.561,0.528,0.621,0.591,0.639,0.592,0.613,0.611,0.536,0.615,0.567,0.578,0.628,0.626,0.593,0.601,0.57,0.578,0.557,0.572,0.613,0.546,0.58,0.568,0.567,0.588,0.588,0.626,0.572,0.543,0.611,0.603,0.535,0.584,0.604,0.551,0.57,0.575,0.617,0.566,0.576,0.654,0.552,0.601,0.595,0.556,0.539,0.58,0.617,0.617,0.578,0.623,0.624,0.565,0.541,0.57,0.6,0.583,0.595,0.609,0.571,0.575,0.564,0.538,0.588,0.602,0.582,0.55,0.592,0.608,0.591,0.565,0.607,0.584
Incoherent,0.396,0.401,0.432,0.432,0.415,0.419,0.385,0.44,0.378,0.387,0.417,0.402,0.413,0.435,0.418,0.423,0.398,0.426,0.434,0.462,0.413,0.364,0.438,0.416,0.397,0.426,0.439,0.472,0.379,0.409,0.361,0.408,0.387,0.389,0.464,0.385,0.433,0.422,0.372,0.374,0.407,0.399,0.43,0.422,0.443,0.428,0.387,0.454,0.42,0.432,0.433,0.412,0.412,0.374,0.428,0.457,0.389,0.397,0.465,0.416,0.395,0.449,0.43,0.425,0.383,0.434,0.424,0.345,0.448,0.399,0.405,0.444,0.461,0.42,0.383,0.383,0.422,0.377,0.376,0.435,0.459,0.43,0.4,0.417,0.405,0.391,0.429,0.425,0.434,0.462,0.412,0.398,0.418,0.45,0.408,0.392,0.409,0.435,0.393,0.416
Apathetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
