,0,1,2,3,4,5,6,7,8,9
Coherentes,0.727,0.676,0.688,0.721,0.735,0.742,0.726,0.662,0.707,0.671
Incoherentes,0.273,0.291,0.311,0.279,0.265,0.258,0.268,0.336,0.288,0.29
Indiferentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tibios,0.0,0.033,0.001,0.0,0.0,0.0,0.006,0.002,0.005,0.039
