ID,rating,isPolitical,label
2,1,0,PEW_H
3,1,0,PEW_H
4,2,0,PEW_H
5,1,0,PEW_H
6,2,0,PEW_H
7,1,0,PEW_H
8,1,0,PEW_H
9,1,0,PEW_H
10,1,0,PEW_H
11,1,0,PEW_H
12,3,0,PEW_H
13,1,0,PEW_H
14,1,0,PEW_H
15,1,0,PEW_H
16,1,0,PEW_H
17,1,0,PEW_H
18,2,0,PEW_H
19,1,0,PEW_H
20,1,0,PEW_H
21,1,0,PEW_H
22,1,0,PEW_H
23,1,0,PEW_H
24,1,0,PEW_H
25,1,0,PEW_H
26,1,0,PEW_H
27,2,0,PEW_H
28,1,0,PEW_H
29,2,0,PEW_H
30,1,0,PEW_H
31,1,0,PEW_H
32,1,0,PEW_H
33,2,0,PEW_H
34,1,0,PEW_H
35,1,0,PEW_H
36,2,0,PEW_H
37,1,0,PEW_H
38,1,0,PEW_H
39,1,0,PEW_H
40,1,0,PEW_H
41,3,0,PEW_H
42,1,0,PEW_H
43,2,0,PEW_H
44,1,0,PEW_H
45,1,0,PEW_H
46,1,0,PEW_H
47,1,0,PEW_H
48,3,1,TEDX_B
49,5,1,TEDX_B
50,1,1,TEDX_B
51,6,1,TEDX_B
52,7,1,TEDX_B
53,1,1,TEDX_B
54,1,1,TEDX_B
55,3,1,TEDX_B
56,7,1,TEDX_B
57,6,1,TEDX_B
58,7,1,TEDX_B
59,4,1,TEDX_B
60,5,1,TEDX_B
61,6,1,TEDX_B
62,3,1,TEDX_B
63,3,1,TEDX_B
64,6,1,TEDX_B
65,4,1,TEDX_B
66,3,1,TEDX_B
67,6,1,TEDX_B
68,6,1,TEDX_B
69,3,1,TEDX_B
70,5,1,TEDX_B
71,5,1,TEDX_B
72,6,1,TEDX_B
73,6,1,TEDX_B
74,7,1,TEDX_B
75,6,1,TEDX_B
76,5,1,TEDX_B
77,2,1,TEDX_B
78,5,1,TEDX_B
79,3,1,TEDX_B
80,6,1,TEDX_B
81,5,1,TEDX_B
82,5,1,TEDX_B
83,6,1,TEDX_B
84,7,1,TEDX_B
85,6,1,TEDX_B
86,5,1,TEDX_B
87,6,1,TEDX_B
88,5,1,TEDX_B
89,7,1,TEDX_B
90,5,1,TEDX_B
91,7,1,TEDX_B
92,4,1,TEDX_B
93,5,1,TEDX_B
94,6,1,TEDX_B
95,4,1,TEDX_B
96,2,1,TEDX_B
97,4,1,TEDX_B
98,7,1,TEDX_B
99,6,1,TEDX_B
100,4,1,TEDX_B
48,1,0,TEDX_H
49,1,0,TEDX_H
50,1,0,TEDX_H
51,1,0,TEDX_H
52,1,0,TEDX_H
53,1,0,TEDX_H
54,1,0,TEDX_H
55,1,0,TEDX_H
56,1,0,TEDX_H
57,1,0,TEDX_H
58,1,0,TEDX_H
59,1,0,TEDX_H
60,3,0,TEDX_H
61,6,0,TEDX_H
62,2,0,TEDX_H
63,1,0,TEDX_H
64,1,0,TEDX_H
65,1,0,TEDX_H
66,1,0,TEDX_H
67,1,0,TEDX_H
68,1,0,TEDX_H
69,1,0,TEDX_H
70,1,0,TEDX_H
71,1,0,TEDX_H
72,1,0,TEDX_H
73,1,0,TEDX_H
74,1,0,TEDX_H
75,1,0,TEDX_H
76,1,0,TEDX_H
77,1,0,TEDX_H
78,2,0,TEDX_H
79,1,0,TEDX_H
80,1,0,TEDX_H
81,1,0,TEDX_H
82,1,0,TEDX_H
83,1,0,TEDX_H
84,1,0,TEDX_H
85,1,0,TEDX_H
86,1,0,TEDX_H
87,1,0,TEDX_H
88,1,0,TEDX_H
89,1,0,TEDX_H
90,1,0,TEDX_H
91,1,0,TEDX_H
92,1,0,TEDX_H
93,3,0,TEDX_H
94,1,0,TEDX_H
95,5,0,TEDX_H
96,1,0,TEDX_H
97,1,0,TEDX_H
98,1,0,TEDX_H
99,1,0,TEDX_H
100,1,0,TEDX_H
48,6,1,ANES16
49,7,1,ANES16
50,7,1,ANES16
51,6,1,ANES16
52,7,1,ANES16
53,6,1,ANES16
54,2,1,ANES16
55,7,1,ANES16
56,7,1,ANES16
57,7,1,ANES16
58,7,1,ANES16
59,4,1,ANES16
60,6,1,ANES16
61,7,1,ANES16
62,5,1,ANES16
63,7,1,ANES16
64,7,1,ANES16
65,3,1,ANES16
66,6,1,ANES16
67,7,1,ANES16
68,7,1,ANES16
69,6,1,ANES16
70,7,1,ANES16
71,7,1,ANES16
72,7,1,ANES16
73,7,1,ANES16
74,7,1,ANES16
75,7,1,ANES16
76,7,1,ANES16
77,3,1,ANES16
78,7,1,ANES16
79,7,1,ANES16
80,7,1,ANES16
81,7,1,ANES16
82,7,1,ANES16
83,7,1,ANES16
84,7,1,ANES16
85,6,1,ANES16
86,6,1,ANES16
87,7,1,ANES16
88,7,1,ANES16
89,7,1,ANES16
90,7,1,ANES16
91,7,1,ANES16
92,7,1,ANES16
93,5,1,ANES16
94,7,1,ANES16
95,5,1,ANES16
96,5,1,ANES16
97,7,1,ANES16
98,7,1,ANES16
99,7,1,ANES16
100,5,1,ANES16
48,4,1,COVID
49,7,1,COVID
50,5,1,COVID
51,6,1,COVID
52,7,1,COVID
53,5,1,COVID
54,6,1,COVID
55,4,1,COVID
56,7,1,COVID
57,6,1,COVID
58,4,1,COVID
59,3,1,COVID
60,4,1,COVID
61,7,1,COVID
62,6,1,COVID
63,6,1,COVID
64,6,1,COVID
65,5,1,COVID
66,4,1,COVID
67,6,1,COVID
68,3,1,COVID
69,3,1,COVID
70,5,1,COVID
71,7,1,COVID
72,7,1,COVID
73,7,1,COVID
74,7,1,COVID
75,6,1,COVID
76,7,1,COVID
77,2,1,COVID
78,2,1,COVID
79,5,1,COVID
80,7,1,COVID
81,6,1,COVID
82,7,1,COVID
83,5,1,COVID
84,7,1,COVID
85,5,1,COVID
86,7,1,COVID
87,7,1,COVID
88,7,1,COVID
89,5,1,COVID
90,4,1,COVID
91,6,1,COVID
92,7,1,COVID
93,6,1,COVID
94,7,1,COVID
95,4,1,COVID
96,3,1,COVID
97,7,1,COVID
98,5,1,COVID
99,7,1,COVID
100,7,1,COVID
48,3,1,PEW_P
49,7,1,PEW_P
50,6,1,PEW_P
51,6,1,PEW_P
52,7,1,PEW_P
53,4,1,PEW_P
54,6,1,PEW_P
55,4,1,PEW_P
56,6,1,PEW_P
57,5,1,PEW_P
58,7,1,PEW_P
59,5,1,PEW_P
60,6,1,PEW_P
61,7,1,PEW_P
62,6,1,PEW_P
63,1,1,PEW_P
64,7,1,PEW_P
65,5,1,PEW_P
66,3,1,PEW_P
67,7,1,PEW_P
68,5,1,PEW_P
69,3,1,PEW_P
70,7,1,PEW_P
71,2,1,PEW_P
72,6,1,PEW_P
73,7,1,PEW_P
74,7,1,PEW_P
75,2,1,PEW_P
76,5,1,PEW_P
77,2,1,PEW_P
78,6,1,PEW_P
79,6,1,PEW_P
80,6,1,PEW_P
81,7,1,PEW_P
82,7,1,PEW_P
83,5,1,PEW_P
84,7,1,PEW_P
85,6,1,PEW_P
86,4,1,PEW_P
87,3,1,PEW_P
88,6,1,PEW_P
89,4,1,PEW_P
90,7,1,PEW_P
91,6,1,PEW_P
92,7,1,PEW_P
93,6,1,PEW_P
94,4,1,PEW_P
95,4,1,PEW_P
96,7,1,PEW_P
97,2,1,PEW_P
98,7,1,PEW_P
99,7,1,PEW_P
100,5,1,PEW_P
48,1,0,PEW_H
49,1,0,PEW_H
50,1,0,PEW_H
51,1,0,PEW_H
52,1,0,PEW_H
53,1,0,PEW_H
54,1,0,PEW_H
55,2,0,PEW_H
56,3,0,PEW_H
57,1,0,PEW_H
58,1,0,PEW_H
59,1,0,PEW_H
60,2,0,PEW_H
61,5,0,PEW_H
62,2,0,PEW_H
63,1,0,PEW_H
64,1,0,PEW_H
65,1,0,PEW_H
66,1,0,PEW_H
67,1,0,PEW_H
68,1,0,PEW_H
69,1,0,PEW_H
70,1,0,PEW_H
71,1,0,PEW_H
72,1,0,PEW_H
73,1,0,PEW_H
74,1,0,PEW_H
75,1,0,PEW_H
76,1,0,PEW_H
77,1,0,PEW_H
78,1,0,PEW_H
79,1,0,PEW_H
80,1,0,PEW_H
81,1,0,PEW_H
82,1,0,PEW_H
83,1,0,PEW_H
84,1,0,PEW_H
85,2,0,PEW_H
86,1,0,PEW_H
87,5,0,PEW_H
88,1,0,PEW_H
89,1,0,PEW_H
90,1,0,PEW_H
91,1,0,PEW_H
92,4,0,PEW_H
93,3,0,PEW_H
94,1,0,PEW_H
95,5,0,PEW_H
96,1,0,PEW_H
97,1,0,PEW_H
98,2,0,PEW_H
99,3,0,PEW_H
100,3,0,PEW_H
