,0,1,2,3,4,5,6,7,8,9,10
K,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,1.0
Coherentes,0.5679,0.5637000000000002,0.56675,0.5550999999999999,0.55025,0.5500499999999999,0.54035,0.52995,0.52635,0.51405,0.5035000000000002
Incoherentes,0.4321,0.4363,0.43325,0.4448999999999999,0.44975,0.44995,0.45965,0.4700499999999999,0.4736499999999999,0.48595,0.4965000000000001
Indiferentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tibios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
